,Area Name,Pin Code
0,Ajmeri Gate Extension,110002
1,A G C R,110002
2,Ansari Road,110002
3,Aliganj,110003
4,Anand Parbat,110005
5,Anand Nagar,110005
6,Army Base,110010
7,A P S Colony,110010
8,A F Palam,110010
9,Ashram,110016
10,Ashok Nagar,110018
11,Ashoka Hotel,110021
12,Anand Niketan,110021
13,Amar Colony,110024
14,Adarsh Nagar,110033
15,A T Mills,110033
16,Anandvas Shakurpur,110034
17,Alipur,110036
18,A F Rajokari,110038
19,Ambrohi,110045
20,Arjan Garh,110047
21,Asian Games Village,110049
22,Andrews Ganj,110049
23,Azad Nagar,110051
24,Anarkali,110051
25,Ashok Vihar H O,110052
26,Amrit Kaur Market,110055
27,Ambedkar Nagar,110062
28,Bank Street,110005
29,Bara Tooti,110006
30,Birla Lines,110007
31,Bazar Road,110010
32,Bhola Nath Nagar,110032
33,Balbir Nagar,110032
34,Bhaiparma Nand Nagar,110033
35,Bawana,110039
36,Budh Nagar,110041
37,Badli,110042
38,Badarpur T P Station,110044
39,Badarpur,110044
40,Bakrola,110045
41,Bharat Nagar,110052
42,Bhajanpuri,110053
43,Brahampuri,110053
44,Bijwasan,110061
45,B S F Camp Tigri,110062
46,Bhajan Pura,110096
47,Connaught Place,110001
48,Constitution House,110001
49,Chawri Bazar,110006
50,Chandni Chowk,110006
51,C C Institute,110007
52,Central Ordinance,110010
53,Central Vehicle,110010
54,Central Tractor,110012
55,Central Kirti Nagar,110015
56,Chand Nagar,110018
57,C R R I,110020
58,Chankyapuri,110021
59,Civil Lines,110054
60,C R P F Camp,110054
61,Chhawla,110071
62,Chilla Villege,110094
63,Darya Ganj,110002
64,Delhi High Court,110003
65,Desh Bandhu Gupta Road,110005
66,Delhi Sadar Bazar,110006
67,Delhi G P O,110006
68,Delhi Cloth Mills,110006
69,Dareeba,110006
70,Delhi University,110007
71,Dada Ghosh Bhawan,110008
72,Depot,110010
73,Dhaula Khuan,110010
74,Delhi Cantt,110010
75,Defence Head Qrs,110011
76,Dargah Shareef,110013
77,D I Area,110015
78,Defence Colony,110024
79,Dilshad Garden,110032
80,Distt Courts,110054
81,Dakshinpuri Phase III,110062
82,Dakshimpuri Phase I,110062
83,D D A Munirka,110067
84,D D A Salam,110072
85,Eastern Court,110001
86,Election Commission,110001
87,E S I Hospital,110015
88,East Of Kailash,110065
89,Farashkhana,110006
90,Fatehpuri,110006
91,Fateh Nagar,110018
92,Flatted Factories Complex,110020
93,Gandhi Samarak,110002
94,Golf Links,110003
95,Guru Gobind Singh Marg,110005
96,Gymkhana Club,110011
97,Green Park Market,110016
98,Green Park,110016
99,Govindpuri,110019
100,Gandhi Nagar Bazar,110031
101,Gandhi Nagar,110031
102,Geeta Colony,110031
103,Gujranwala Nagar Part Ii,110033
104,G T S Nagar,110033
105,Ganeshpuri,110035
106,Gurgaon Road,110037
107,Greater Kailash Ii,110048
108,Greater Kailash,110048
109,Guatam Nagar,110049
110,Gulmohar Park,110049
111,Gobindpura,110051
112,Gokulpuri,110094
113,Hamdard Dawakhana,110006
114,Hauz Qazi,110006
115,Hazrat Nizamuddin,110013
116,Hari Nagar Ashram,110014
117,Hauz Khas Market,110016
118,Hauz Khas,110016
119,Himayunpur Extn,110029
120,Harijan Sewak Sangh,110033
121,Haiderpur,110042
122,Hamdard Nagar,110062
123,Hari Nagar Da & Db Block,110064
124,Hari Nagar Be Block,110064
125,Himmatpuri,110091
126,Indian Agriculture,110002
127,Indraprastha Estate,110002
128,Indraprastha H O,110002
129,Industrial Area,110005
130,Idgah Road I S B T,110006
131,Inderpuri,110012
132,Industrial Area,110015
133,I I T Hauz Khas,110016
134,Inderlok,110035
135,Janpath,110001
136,Jawahar Lal Nehru Stadium,110003
137,Joshi Nagar,110005
138,Jama Masjid,110006
139,Jawahar Nagar,110007
140,Jangpura,110014
141,Jamia Nagar,110025
142,Janta Market,110027
143,J 6 Block Rajouri Garden,110027
144,J J Colony,110027
145,Jahangirpuri Block H,110033
146,Jahangirpuri Block D,110033
147,Jahangirpuri Block A,110033
148,Jaroda Majra,110033
149,Jawalpuri,110041
150,Jagjit Nagar,110053
151,Janakpuri Block C 4,110058
152,Janakpuri,110058
153,Janakpuri Block D 1,110058
154,Janakpuri Blockc 2,110058
155,Jeewan Park,110059
156,Jawahar Lal Nehru Univers,110067
157,Jharoda Kalan,110072
158,Krishi Bhawan,110001
159,Karol Bagh,110005
160,Kamla Nagar,110007
161,Kirby Place,110010
162,Karampura,110015
163,Kirti Nagar,110015
164,Khyalla Phase II,110018
165,Khyalla Phase I,110018
166,Kalkaji,110019
167,Kidwai Nagar,110023
168,Kidwai Nagar West,110023
169,Krishna Market,110024
170,Kailash Nagar,110031
171,Kabool Nagar,110032
172,Kailash Colony,110048
173,Kailash,110048
174,Krishan Nagar Bazar,110051
175,Krishan Nagar H O,110051
176,Khanpur,110062
177,Kanjhawala,110081
178,Khera Kalan,110082
179,Kutubgarh,110084
180,Khichripur,110091
181,Kalyanpuri,110091
182,Kalyan Vas,110092
183,Karawal Nagar,110094
184,Lady Harding Medical College,110001
185,Laxminarain Mandir,110001
186,Lok Nagar Bhawan,110003
187,Lodi Road H O,110003
188,Lodi House Hostel,110003
189,Lodi Colony Market,110003
190,Lower Camp Anand Parbat,110005
191,Lancer Road Market,110007
192,Lok Nayak Bhawan,110007
193,Laxmi Bai Nagar,110023
194,Lajpat Nagar,110024
195,Loni Road,110032
196,Lawrence Road,110035
197,Lekhu Nagar,110035
198,Lajpat Rai Chowk,110051
199,Laxmi Nagar Market,110092
200,Minto Road,110002
201,Model Basti,110005
202,Mori Gate,110006
203,Malka Ganj Market,110007
204,Malka Ganj,110007
205,Mansarover Garden,110015
206,Moti Nagar,110015
207,Malviya Nagar,110017
208,Mahabir Nagar,110018
209,Major Bhupinder Singh Nag,110018
210,Malcha Marg,110021
211,Moti Bagh,110021
212,Mehrau;I,110030
213,Mansarover Park,110032
214,Mukerjee Nagar,110033
215,Model Town A Block,110033
216,Model Town Ii,110033
217,Multani Mohalla,110034
218,Masjidmoth Phase Ii,110048
219,Masjid Moth Extn,110049
220,Maujpur,110053
221,Maidens Hotel,110054
222,Multani Dhanda,110055
223,Munirka,110057
224,Madangir,110062
225,Madipur,110063
226,Mayapuri Shopping Centre,110064
227,Mayapuri,110064
228,Mangolpuri Block S,110083
229,Mangolpuri Block A,110083
230,Mangolpuri Block 1,110083
231,Mangolpuri,110083
232,North Avenue,110001
233,New Delhi G P O,110001
234,Nidhi,110002
235,Nirman Bhawan,110011
236,N P Laboratories,110012
237,North Industrial Area,110015
238,N I E Compus,110016
239,Nehru Place,110019
240,Nanakpura,110021
241,Netaji Nagar,110023
242,Najafgarh Road,110027
243,Naraina Vihar,110028
244,Naraina,110028
245,Naraina Industrial Estate,110028
246,Nauroji Nagar,110029
247,New Seemapuri,110032
248,New Sabzi Mandi,110033
249,Nirankari Colony,110033
250,Nangli Poona,110036
251,Narela Town,110040
252,Narela,110040
253,Nagloi,110041
254,Nangloi Phase Iii,110041
255,Najafgarh,110043
256,Nangal Rava,110046
257,N Block Greater,110048
258,Nimri,110052
259,New Rajinder Nagar,110060
260,Nehru Nagar,110065
261,Nand Nagri A Block,110093
262,Nand Nagri,110093
263,Nathu Colony,110093
264,Oberei Intercontinental,110003
265,Organisation,110012
266,Okhla Industrial Estate,110020
267,Onkar Nagar,110035
268,Parliament House,110001
269,Patiala House,110001
270,Parliament Street H O,110001
271,Pragati Maidan,110001
272,Pandara Road,110003
273,Pragati Vihar,110003
274,Patrachar Road,110007
275,Patrachar Vidyala,110007
276,Partap Nagar,110007
277,Pragati Vihar,110007
278,Patel Nagar East,110008
279,Patel Nagar,110008
280,Patel Nagar West,110008
281,Patel Nagar South,110008
282,Pushpa Vihar Sector I,110017
283,Panchseel Enclave,110017
284,Postal Saving Bureau,110022
285,Punjabi Bagh Sector Iii,110026
286,Punjabi Bagh,110026
287,Pitampura,110034
288,Power House,110035
289,Palam Enclave,110045
290,Palam,110045
291,Paharganj,110055
292,P S B Paharganj,110055
293,Possangipur,110058
294,Pushpa Bhawan,110062
295,Paschim Vihar,110063
296,Paschim Vihar Block B,110063
297,P T S Jharoda Kalan,110072
298,Patper Ganj,110092
299,Qr Madipur,110063
300,Rail Bhawan,110001
301,Rajghat Power House,110002
302,Rashtrapati Bhawan,110004
303,Red Fort,110006
304,Rly C A O,110007
305,Rana Pratap Bagh,110007
306,Roshan Area Road,110007
307,Roop Nagar,110007
308,Research Institute,110012
309,Ramesh Nagar H O,110015
310,R K Puram Sector I,110022
311,R K Puram Sector II,110022
312,R K Puram Sector III,110022
313,R K Puram Sector Iv,110022
314,R K Puram Sector XII,110022
315,R K Puram Sector IX,110022
316,R K Puram V,110022
317,R K Puram Sector VII,110022
318,R K Puram Sector VIII,110022
319,Rajouri Market,110027
320,Rajouri Garden,110027
321,Raghubarpura,110031
322,Rohtash Nagar,110032
323,Rani Bagh,110034
324,Radheypuri,110051
325,Ram Nagar,110051
326,Ravinder Rangsala,110060
327,Rajinder Nagar,110060
328,R K Puram West,110066
329,R K Puram,110066
330,Shastri Bhawan,110001
331,Supreme Court,110001
332,Sectt North,110001
333,Sansadiya Soudha,110001
334,Safdarjang Air Port,110003
335,Sat Nahar,110005
336,Sadar Thana Road,110006
337,Shakti Nagar,110007
338,Subzi Mandi,110007
339,Sewa Sangh,110007
340,Safdarjang Air Port,110007
341,South Avenue,110011
342,Sectt South,110011
343,Shahjahan Road,110011
344,Sudershan Park,110015
345,Shri Aurobindo,110016
346,South Malviya Nagar,110017
347,Sarojini Nagar H O,110023
348,Subhash Nagar,110027
349,Subhash Nagar West,110027
350,Safdarjang Enclave,110029
351,Sahstri Nagar,110031
352,Seemapuri Old,110032
353,Shahdara Mandi,110032
354,Shahdara,110032
355,Suraj Nagar,110033
356,Shalimar Bagh,110033
357,Shakurpur Block I,110034
358,Srinagar Colony,110034
359,Saraswati Vihar,110034
360,Shakurbasti R S,110034
361,Sarai Rohila,110035
362,Sanoth,110040
363,Sultanpuri Block F,110041
364,Suttanpuri Block B,110041
365,Sultanpuri Block C,110041
366,Sameypur Badli,110042
367,Sadiq Nagar,110049
368,South Extn Part Ii,110049
369,South Extn Part I,110049
370,Shastri Nagar,110052
371,Satyawati Nagar,110052
372,Seelampur,110053
373,Swami Ram Tirath Nagar,110055
374,Shakurbasti,110056
375,Sriniwaspuri,110065
376,Shakarpur,110092
377,Than Singh Nagar,110005
378,Timarpur,110007
379,Tilak Nagar,110018
380,Tihar,110018
381,Tilak Nagar East,110018
382,Tatarpur,110027
383,T B Hospital,110030
384,Teliwara,110032
385,Tughlakabad,110044
386,Tughlakabad A F Station,110044
387,Trilokpuri,110091
388,U P S C,110011
389,Udyog Bhawan,110011
390,Uttam Nagar,110059
391,Ujwa,110073
392,Vishnu Garden,110015
393,Vikaspuri,110018
394,Vishnu Garden,110018
395,Vishwa Karma Nagar,110032
396,Vishwan Nagar,110032
397,Vivek Vihar,110032
398,Vijay Nagar,110033
399,Vasant Vihar I,110057
400,Vasant Vihar II,110057
401,Wazir Nagar,110003
402,Wazir Nagar,110007
403,Work Shop,110010
404,Wazirpur Phase III,110052
405,Yusaf Sarai,110016
406,Yamuna Vihar,110053
407,Zakhira,110015
408,Zakhir Nagar,110025
409,Zafrabad,110053
